"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2093119016,1,NA,9,1,0,1,1,NA,1,0,1,1,NA,1,3,1,0,2,3
2093119199,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,0,0,2,2
2093119547,1,1,1,1,0,0,0,1,1,1,1,0,1,1,2,1,0,2,1
2093119601,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,1
2093120103,1,NA,9,1,1,0,0,NA,1,1,1,0,NA,0,3,1,1,2,1
2093120154,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,1
2093121401,1,1,0,1,1,0,0,1,1,1,1,0,1,0,3,0,0,2,3
2093121991,1,NA,NA,9,1,1,0,NA,1,1,0,0,NA,0,3,0,0,1,2
2093122181,1,NA,NA,NA,1,0,0,NA,1,0,0,1,NA,NA,3,9,1,2,1
2093122271,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,0,0,2,1
2093122491,1,1,1,1,1,0,0,1,1,1,1,1,0,0,3,0,0,2,1
2093122602,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,0,2,3
2093123781,0,1,0,1,0,0,0,1,1,1,1,0,0,0,3,1,1,2,2
2093124290,1,1,1,1,1,0,1,0,1,1,1,1,1,0,3,1,0,2,2
2093124371,1,NA,9,1,0,0,0,NA,1,1,0,0,NA,0,1,0,1,2,3
2093124427,1,1,1,1,1,0,1,1,1,1,1,0,0,0,3,1,1,1,3
2093124991,0,NA,NA,NA,0,0,0,NA,1,0,1,0,NA,NA,3,NA,1,2,9
2093125920,1,9,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,2,1
2093127469,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,2,1
2093129071,1,9,1,1,0,0,1,1,1,0,0,1,0,0,3,0,0,2,2
2093129402,1,NA,NA,NA,1,0,0,NA,1,8,0,0,NA,NA,3,9,1,2,2
2093129461,1,1,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,2,2
2093129607,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,1
2093129666,1,1,0,1,0,1,1,1,1,0,1,1,1,1,3,1,1,2,2
2093129682,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,2
2093129852,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3,1,1,2,2
2093129933,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1
2093130117,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
2093130214,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,2,2
2093130273,1,1,0,1,0,0,0,1,1,0,1,1,0,1,3,1,0,2,3
2093130281,1,9,0,0,1,0,0,9,1,0,1,0,NA,1,3,8,8,2,1
2093130451,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1
2093130460,0,NA,9,1,1,0,1,NA,1,1,0,8,NA,1,1,8,0,2,2
2093130699,1,1,0,1,1,8,8,0,1,8,0,1,1,1,3,1,1,2,3
2093132217,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1
2093132497,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,0,0,2,3
2093134198,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
2093135046,1,1,1,1,1,0,1,1,1,0,0,1,0,0,3,0,0,2,1
2093135135,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,2,3
2093135551,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1
2093135585,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
2093135984,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2,1
2093136395,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1
2093136581,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,1
2093136930,1,9,1,1,0,0,1,1,1,1,1,0,9,1,3,0,8,2,3
2093137421,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1
2093137596,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2093138096,0,0,1,1,0,0,0,1,1,0,1,0,0,0,3,0,1,2,2
2093138185,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,2,3
2093138444,0,0,0,0,1,1,0,0,0,0,1,1,0,0,3,0,0,2,1
2093138690,1,NA,NA,NA,1,8,1,NA,1,0,1,9,NA,NA,2,NA,1,2,NA
2093138711,0,9,1,1,1,8,1,1,1,1,1,1,9,8,3,1,8,2,2
2093138771,0,9,1,1,1,0,0,0,1,0,1,0,0,0,2,0,1,2,1
2093139564,0,NA,NA,NA,0,1,0,NA,0,0,0,9,NA,NA,3,NA,1,2,NA
2093139661,1,1,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,2,2
2093140490,1,0,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,2,3
2093141771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,2,3
2093141933,0,NA,NA,9,0,0,1,NA,1,0,1,0,NA,1,3,1,0,2,3
2093141950,8,NA,NA,NA,1,0,0,NA,1,0,0,8,NA,NA,3,9,8,8,1
2093142719,0,0,1,1,0,0,0,1,0,1,0,0,0,1,3,0,0,2,2
2093143057,1,1,0,0,0,0,0,1,1,1,0,0,1,0,3,0,0,2,2
2093144754,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,2,1
